Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
SMAC;Le Cabaret Aléatoire SMAC d'agglomération marseillaise;association Autokab;41 rue Jobin;;13003;MARSEILLE;;;;43.309625, 5.390326;43.309625, 5.390326;Provence-Alpes-Côte d'Azur
SMAC;Le Kabardock;Assocation l'AGEMA;60, rue Mahé de Labourdonnais;;97420;LE PORT;;;;-20.94048, 55.293874;-20.94048, 55.293874;
SMAC en cours de labellisation;MJC du Verdunois;La Passerelle;2 place André Maginot;;55430;BELLEVILLE-SUR-MEUSE;;;;49.175299, 5.379429;49.175299, 5.379429;Grand Est
SMAC en cours de labellisation;L'Abordage;Association Abordage;1, avenue Aristide Briand;;27000;EVREUX;;;;49.021706, 1.137817;49.021706, 1.137817;Normandie
SMAC en cours de labellisation;Le Tétris;Papa's production;55, rue de 329 RI;Fort de Tourneville /;76620;LE HAVRE;;;;49.519412, 0.101015;49.519412, 0.101015;Normandie
SMAC en cours de labellisation;Le Plan – Communauté d'agglomération Evry Centre Essonne;;500 PLACE DES Champs Elysées –;BP 62 Courcouronnes;91000;EVRY;;;;48.640728, 2.432558;48.640728, 2.432558;Île-de-France
SMAC en cours de labellisation;Le Forum;Commune de Vauréal;Boulevard de l’Oise;;95490;VAUREAL;;;;49.02959, 2.022081;49.02959, 2.022081;Île-de-France
SMAC en cours de labellisation;Le Moulin SMAC d'agglomération marseillaise;association SAAG;47 Bd Perrin;;13013;MARSEILLE;;;;43.319217, 5.407838;43.319217, 5.407838;Provence-Alpes-Côte d'Azur
Centre Dramatique National;NOUVEAU THEATRE D’ANGERS;Théâtre Le Quai;17 rue de la Tannerie;B.P. 10103;49101;ANGERS CEDEX 02;-0.565009;47.472959999999986;47.472959999999986,-0.565009;;47.47296, -0.565009;Pays de la Loire
Centre Dramatique National;THEATRE DU PORT DE LA LUNE;CENTRE DRAMATIQUE NATIONAL DE BORDEAUX AQUITAINE;3 square Jean Vauthier;B.P. 7;33032;BORDEAUX CEDEX;-0.547703;44.88325400000001;44.88325400000001,-0.547703;;44.883254, -0.547703;Nouvelle-Aquitaine
Centre Dramatique National;LA COMEDIE DE CAEN;;1, square du Théâtre;BP 94;14203;Hérouville Saint-Clair Cedex;-0.344908;49.22016800000002;49.22016800000002,-0.344908;;49.220168, -0.344908;Normandie
Centre Dramatique National;LE FESTIN;CDN DE MONTLUCON – REGION AUVERGNE;27 rue des Faucheroux;Espace Boris Vian;3100;MONTLUCON;2.609487;46.328193;46.328193,2.609487;;46.328193, 2.609487;Auvergne-Rhône-Alpes
Centre Dramatique National;THEATRE DES TREIZE VENTS;CENTRE DRAMATIQUE NATIONAL DU LANGUEDOC-ROUSSILLON;avenue Albert Einstein;Domaine de Grammont;34965;MONTPELLIER CEDEX 2;3.92986;43.60967599999999;43.60967599999999,3.92986;;43.609676, 3.92986;Occitanie
Centre Dramatique National;LA COMEDIE DE SAINT-ETIENNE;;7, avenue Emile Loubet;;42000;SAINT-ETIENNE;4.383267;45.43589799999999;45.43589799999999,4.383267;45.435508, 4.383442;45.435898, 4.383267;Auvergne-Rhône-Alpes
Centre Dramatique Régional;THEATRE DES DEUX RIVES;CENTRE DE CREATION DRAMATIQUE DE HAUTE-NORMANDIE;48, rue Louis Ricard;;76000;ROUEN;1.100427;49.44675900000001;49.44675900000001,1.100427;49.446546, 1.100425;49.446759, 1.100427;Normandie
Centre de développement chorégraphique;L'échangeur;;;;2130;FERE EN TARDENOIS;;;;49.198613, 3.517207;49.198613, 3.517207;Hauts-de-France
FRAC;Fonds régional d'art contemporain AQUITAINE;;1 quai Armand Lalande;;33000;BORDEAUX;;;;;;
FRAC;Fonds régional d'art contemporain CORSE;;Citadelle de Corte;;20250;CORTE;;;;42.304761, 9.148926;42.304761, 9.148926;Corse
FRAC;Fonds régional d'art contemporain FRANCHE-COMTÉ;;Conseil régional 4, square Castan;;25000;BESANCON;;;;47.234547, 6.030396;47.234547, 6.030396;Bourgogne-Franche-Comté
